FECHA,AÑO,PERIODO,EMPRESA,DEPARTAMENTO,ESTRATO,TARIFA
Jul-25,2025,7,CELSIA COLOMBIA Tolima,Tolima,4,933.81
Ago-25,2025,8,CELSIA COLOMBIA Tolima,Tolima,4,866.6
Sep-25,2025,9,CELSIA COLOMBIA Tolima,Tolima,4,943.98
Oct-25,2025,10,CELSIA COLOMBIA Tolima,Tolima,4,962.29
Nov-25,2025,11,CELSIA COLOMBIA Tolima,Tolima,4,909.21
Dic-25,2025,12,CELSIA COLOMBIA Tolima,Tolima,4,913.94
Ene-26,2026,1,CELSIA COLOMBIA Tolima,Tolima,4,912.88
Feb-26,2026,2,CELSIA COLOMBIA Tolima,Tolima,4,936.99
* Pesos corrientes,,,CELSIA COLOMBIA Tolima,Tolima,4,0.02641091928840594
Mar-25,2025,3,CELSIA COLOMBIA Tolima,Tolima,"5 y 6, Ind y Com",1308.5
Abr-25**,2025,4,CELSIA COLOMBIA Tolima,Tolima,"5 y 6, Ind y Com",1168.54
May-25,2025,5,CELSIA COLOMBIA Tolima,Tolima,"5 y 6, Ind y Com",1140.8
Jun-25**,2025,6,CELSIA COLOMBIA Tolima,Tolima,"5 y 6, Ind y Com",1162.79
Jul-25,2025,7,CELSIA COLOMBIA Tolima,Tolima,"5 y 6, Ind y Com",1120.57
Ago-25,2025,8,CELSIA COLOMBIA Tolima,Tolima,"5 y 6, Ind y Com",1039.92
Sep-25,2025,9,CELSIA COLOMBIA Tolima,Tolima,"5 y 6, Ind y Com",1132.78
Oct-25,2025,10,CELSIA COLOMBIA Tolima,Tolima,"5 y 6, Ind y Com",1154.75
Nov-25,2025,11,CELSIA COLOMBIA Tolima,Tolima,"5 y 6, Ind y Com",1091.05
Dic-25,2025,12,CELSIA COLOMBIA Tolima,Tolima,"5 y 6, Ind y Com",1096.73
Ene-26,2026,1,CELSIA COLOMBIA Tolima,Tolima,"5 y 6, Ind y Com",1095.46
Feb-26,2026,2,CELSIA COLOMBIA Tolima,Tolima,"5 y 6, Ind y Com",1124.39
* Pesos corrientes,,,CELSIA COLOMBIA Tolima,Tolima,"5 y 6, Ind y Com",0.02640899713362429
Mar-25,2025,3,CENS,Norte de Santander,1,427.0245
Abr-25,2025,4,CENS,Norte de Santander,1,429.2766
May-25,2025,5,CENS,Norte de Santander,1,432.1061
Jun-25,2025,6,CENS,Norte de Santander,1,433.492
Jul-25,2025,7,CENS,Norte de Santander,1,418.6078
Ago-25,2025,8,CENS,Norte de Santander,1,419.7497
Sep-25,2025,9,CENS,Norte de Santander,1,420.5295
Oct-25,2025,10,CENS,Norte de Santander,1,421.8943
Nov-25,2025,11,CENS,Norte de Santander,1,422.6741
Dic-25,2025,12,CENS,Norte de Santander,1,422.9805
Ene-26,2026,1,CENS,Norte de Santander,1,424.0945
Feb-26,2026,2,CENS,Norte de Santander,1,429.1078
* Pesos corrientes,,,CENS,Norte de Santander,1,0.011821186079989283
Mar-25,2025,3,CENS,Norte de Santander,2,533.7806
Abr-25,2025,4,CENS,Norte de Santander,2,536.5957
May-25,2025,5,CENS,Norte de Santander,2,540.1326
Jun-25,2025,6,CENS,Norte de Santander,2,541.865
Jul-25,2025,7,CENS,Norte de Santander,2,523.2597
Ago-25,2025,8,CENS,Norte de Santander,2,524.6871
Sep-25,2025,9,CENS,Norte de Santander,2,525.6619
Oct-25,2025,10,CENS,Norte de Santander,2,527.3678
Nov-25,2025,11,CENS,Norte de Santander,2,528.3426
Dic-25,2025,12,CENS,Norte de Santander,2,528.7256
Ene-26,2026,1,CENS,Norte de Santander,2,530.1181
Feb-26,2026,2,CENS,Norte de Santander,2,536.3847
* Pesos corrientes,,,CENS,Norte de Santander,2,0.011821139478165196
Mar-25,2025,3,CENS,Norte de Santander,3,859.9909
Abr-25,2025,4,CENS,Norte de Santander,3,838.2335
May-25,2025,5,CENS,Norte de Santander,3,805.268
Jun-25,2025,6,CENS,Norte de Santander,3,742.7577
Jul-25,2025,7,CENS,Norte de Santander,3,778.5886
Ago-25,2025,8,CENS,Norte de Santander,3,740.6825
Sep-25,2025,9,CENS,Norte de Santander,3,773.1755
Oct-25,2025,10,CENS,Norte de Santander,3,772.8004
Nov-25,2025,11,CENS,Norte de Santander,3,731.4796
Dic-25,2025,12,CENS,Norte de Santander,3,739.4507
Ene-26,2026,1,CENS,Norte de Santander,3,754.8502
Feb-26,2026,2,CENS,Norte de Santander,3,733.4071
* Pesos corrientes,,,CENS,Norte de Santander,3,-0.028407093221939874
Mar-25,2025,3,CENS,Norte de Santander,4,1011.754
Abr-25,2025,4,CENS,Norte de Santander,4,986.157
May-25,2025,5,CENS,Norte de Santander,4,947.3741
Jun-25,2025,6,CENS,Norte de Santander,4,873.8326
Jul-25,2025,7,CENS,Norte de Santander,4,915.9866
Ago-25,2025,8,CENS,Norte de Santander,4,871.3912
Sep-25,2025,9,CENS,Norte de Santander,4,909.6182
Oct-25,2025,10,CENS,Norte de Santander,4,909.1769
Nov-25,2025,11,CENS,Norte de Santander,4,860.5642
Dic-25,2025,12,CENS,Norte de Santander,4,869.942
Ene-26,2026,1,CENS,Norte de Santander,4,888.059
Feb-26,2026,2,CENS,Norte de Santander,4,862.8319
* Pesos corrientes,,,CENS,Norte de Santander,4,-0.028407008993771757
Mar-25,2025,3,CENS,Norte de Santander,"5 y 6, Ind y Com",1214.1048
Abr-25,2025,4,CENS,Norte de Santander,"5 y 6, Ind y Com",1183.3884
May-25,2025,5,CENS,Norte de Santander,"5 y 6, Ind y Com",1136.8489
Jun-25,2025,6,CENS,Norte de Santander,"5 y 6, Ind y Com",1048.5991
Jul-25,2025,7,CENS,Norte de Santander,"5 y 6, Ind y Com",1099.1839
Ago-25,2025,8,CENS,Norte de Santander,"5 y 6, Ind y Com",1045.6694
Sep-25,2025,9,CENS,Norte de Santander,"5 y 6, Ind y Com",1091.5418
Oct-25,2025,10,CENS,Norte de Santander,"5 y 6, Ind y Com",1091.0123
Nov-25,2025,11,CENS,Norte de Santander,"5 y 6, Ind y Com",1032.677
Dic-25,2025,12,CENS,Norte de Santander,"5 y 6, Ind y Com",1043.9304
Ene-26,2026,1,CENS,Norte de Santander,"5 y 6, Ind y Com",1065.6708
Feb-26,2026,2,CENS,Norte de Santander,"5 y 6, Ind y Com",1035.3982
* Pesos corrientes,,,CENS,Norte de Santander,"5 y 6, Ind y Com",-0.02840708406385913
Mar-25,2025,3,CEO,Cauca,1,442.3552
Abr-25,2025,4,CEO,Cauca,1,444.6882
May-25,2025,5,CEO,Cauca,1,447.6192
Jun-25,2025,6,CEO,Cauca,1,449.0549
Jul-25,2025,7,CEO,Cauca,1,449.5334
